City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Rikitea,PF,78.51,light rain,-23.1203,-134.9692,People ThankYou
20,Georgetown,MY,79.9,thunderstorm,5.4112,100.3354,Cititel Penang
23,Oistins,BB,77.88,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
26,Vaini,TO,80.71,overcast clouds,-21.2,-175.2,Keleti Beach Resort
30,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
34,Atuona,PF,77.97,light rain,-9.8,-139.0333,Villa Enata
38,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,General Pico,AR,75.51,clear sky,-35.6566,-63.7568,Euskadi Hotel
49,Maryborough,AU,75.02,scattered clouds,-25.5333,152.7,Blue Shades Motel
51,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
56,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
59,Tecoanapa,MX,84.69,broken clouds,16.5167,-98.75,Hotel Manglares
60,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Rodeo,US,80.44,clear sky,38.033,-122.2669,Captain's Cottage
69,Takoradi,GH,78.71,light rain,4.8845,-1.7554,Raybow International Hotel
76,Naranjal,EC,82.53,moderate rain,-2.6667,-79.6167,Media Naranja
77,Kathu,TH,78.62,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
82,Yaan,NG,84.96,overcast clouds,7.3833,8.5667,
83,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Sao Jose Da Coroa Grande,BR,81.0,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
89,Bacolod,PH,75.63,overcast clouds,10.6667,122.95,Planta Hotel & Residences
