City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,2022-02-13 22:03:01,-0.7393,-90.3518,76.55,89,90,1.01,overcast clouds
1,Busselton,AU,2022-02-13 22:06:13,-33.65,115.3333,63.05,77,0,11.72,clear sky
2,Alta Floresta,BR,2022-02-13 22:06:14,-9.8756,-56.0861,73.6,94,100,2.15,overcast clouds
3,Coquimbo,CL,2022-02-13 22:06:14,-29.9533,-71.3436,69.53,64,0,12.66,clear sky
4,Arlit,NE,2022-02-13 22:06:15,18.7369,7.3853,67.96,12,0,5.37,clear sky
5,Jamestown,US,2022-02-13 22:06:03,42.097,-79.2353,20.52,39,100,6.91,overcast clouds
6,Nongan,CN,2022-02-13 22:06:15,44.382,125.1685,4.08,85,100,11.05,overcast clouds
7,Albany,US,2022-02-13 22:06:16,42.6001,-73.9662,25.09,52,100,1.01,overcast clouds
8,Pevek,RU,2022-02-13 22:06:16,69.7008,170.3133,-17.21,98,100,9.44,overcast clouds
9,Araouane,ML,2022-02-13 22:02:41,18.9048,-3.5265,63.77,18,73,11.36,broken clouds
10,Mataura,NZ,2022-02-13 22:06:17,-46.1927,168.8643,59.49,62,26,2.35,scattered clouds
11,Shubarshi,KZ,2022-02-13 22:06:17,48.5872,57.1869,13.15,96,89,13.13,overcast clouds
12,Broome,US,2022-02-13 22:02:28,42.2506,-75.833,22.01,64,40,12.66,scattered clouds
13,Grindavik,IS,2022-02-13 22:04:39,63.8424,-22.4338,27.07,86,0,6.91,clear sky
14,Tasiilaq,GL,2022-02-13 22:06:19,65.6145,-37.6368,21.36,82,100,12.93,overcast clouds
15,Lagoa,PT,2022-02-13 22:06:19,39.05,-27.9833,56.57,59,85,4.94,overcast clouds
16,Ponta Do Sol,PT,2022-02-13 22:04:17,32.6667,-17.1,64.06,57,97,2.48,overcast clouds
17,Thompson,CA,2022-02-13 22:06:20,55.7435,-97.8558,-1.3,88,100,5.73,overcast clouds
18,Rikitea,PF,2022-02-13 22:06:20,-23.1203,-134.9692,78.51,71,74,12.59,light rain
19,Ushuaia,AR,2022-02-13 22:05:56,-54.8,-68.3,38.86,87,75,28.77,broken clouds
20,Georgetown,MY,2022-02-13 22:05:08,5.4112,100.3354,79.9,86,20,6.91,thunderstorm
