City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Padang,ID,2022-02-09 21:10:31,-0.9492,100.3543,75.31,64,100,7.2
1,Fairbanks,US,2022-02-09 21:10:14,64.8378,-147.7164,-5.4,74,100,3.44
2,Dikson,RU,2022-02-09 21:08:15,73.5069,80.5464,1.49,95,99,22.26
3,Pevek,RU,2022-02-09 21:10:31,69.7008,170.3133,-32.75,100,100,5.17
4,Bluff,NZ,2022-02-09 21:10:32,-46.6,168.3333,59.81,96,78,5.08
5,Nikolskoye,RU,2022-02-09 21:10:32,59.7035,30.7861,35.71,89,100,9.46
6,East London,ZA,2022-02-09 21:05:40,-33.0153,27.9116,69.89,79,0,6.22
7,Cherskiy,RU,2022-02-09 21:06:53,68.75,161.3,-45.51,100,84,4.09
8,Rikitea,PF,2022-02-09 21:05:48,-23.1203,-134.9692,79.0,68,0,15.26
9,Port Elizabeth,ZA,2022-02-09 21:05:38,-33.918,25.5701,65.68,86,2,7.25
10,Albany,US,2022-02-09 21:05:39,42.6001,-73.9662,43.92,57,32,3.0
11,Qaanaaq,GL,2022-02-09 21:05:37,77.484,-69.3632,-21.23,80,99,5.12
12,Barrow,US,2022-02-09 21:06:59,71.2906,-156.7887,-23.78,69,0,16.11
13,Xuddur,SO,2022-02-09 21:10:34,4.1213,43.8894,73.94,40,86,16.11
14,Port Alfred,ZA,2022-02-09 21:05:39,-33.5906,26.891,66.97,85,3,7.25
15,Puerto Ayora,EC,2022-02-09 21:05:49,-0.7393,-90.3518,82.36,75,65,7.72
16,Georgetown,MY,2022-02-09 21:05:15,5.4112,100.3354,78.89,93,20,4.61
17,Makakilo City,US,2022-02-09 21:10:35,21.3469,-158.0858,79.29,55,100,11.5
18,Punta Arenas,CL,2022-02-09 21:01:10,-53.15,-70.9167,51.12,50,57,26.13
19,Tenenkou,ML,2022-02-09 21:10:35,14.4572,-4.9169,77.97,10,0,11.34
20,Ancud,CL,2022-02-09 21:10:35,-41.8697,-73.8203,65.43,71,100,9.06
21,Nemuro,JP,2022-02-09 21:10:36,43.3236,145.575,19.94,78,9,7.02
22,Saint-Philippe,RE,2022-02-09 21:10:36,-21.3585,55.7679,72.99,82,90,6.02
23,Mananara,MG,2022-02-09 21:07:19,-16.1667,49.7667,76.21,93,13,1.9
24,Khatanga,RU,2022-02-09 21:06:56,71.9667,102.5,-3.26,94,100,14.05
25,Gorontalo,ID,2022-02-09 21:10:37,0.5412,123.0595,74.88,94,100,2.66
